ROW,Date,CO
1,2014-03-01,5251.00
2,2014-03-02,34433.00
3,2014-03-03,10355.00
4,2014-03-04,25581.00
5,2014-03-05,5505.00
6,2014-03-06,24105.00
7,2014-03-08,19158.00
8,2014-03-09,17519.00
9,2014-03-10,36060.00
10,2014-03-11,21344.00
11,2014-03-12,27771.00
12,2014-03-13,15179.00
13,2014-03-15,11332.00
14,2014-03-16,27708.00
15,2014-03-17,24331.00
16,2014-03-18,13356.00
17,2014-03-19,20315.00
18,2014-03-20,79.00
19,2014-03-25,606.00
20,2014-03-26,8413.00
21,2014-03-27,6149.00
22,2014-03-29,4622.00
23,2014-03-30,3599.00
24,2014-03-31,3318.00
25,2014-04-05,1912.00
26,2014-04-06,24228.00
27,2014-04-07,15145.00
28,2014-04-08,28956.00
29,2014-04-09,18099.00
30,2014-04-10,16975.00
31,2014-04-12,6163.00
32,2014-04-13,11047.00
33,2014-04-14,9050.00
34,2014-04-15,28771.00
35,2014-04-16,19366.00
36,2014-04-17,57538.00
37,2014-04-19,5547.00
38,2014-04-20,23709.00
39,2014-04-21,6881.00
40,2014-04-22,13128.00
41,2014-04-23,16189.00
42,2014-04-24,24148.00
43,2014-04-26,9981.00
44,2014-04-27,18028.00
45,2014-04-28,6653.00
46,2014-04-29,7804.00
47,2014-04-30,12842.00
48,2014-05-01,3628.00
49,2014-05-03,13581.00
50,2014-05-04,9785.00
51,2014-05-05,63383.00
52,2014-05-06,15544.00
53,2014-05-07,34062.00
54,2014-05-08,6915.00
55,2014-05-10,14391.00
56,2014-05-11,12485.00
57,2014-05-12,16635.00
58,2014-05-14,30447.00
59,2014-05-15,26101.00
60,2014-05-17,7383.00
61,2014-05-18,18238.00
62,2014-05-19,14787.00
63,2014-05-20,6113.00
64,2014-05-21,25997.00
65,2014-05-22,12655.00
66,2014-05-24,18781.00
67,2014-05-25,21348.00
68,2014-05-26,17852.00
69,2014-05-28,19300.00
70,2014-05-29,3065.00
71,2014-05-31,16118.00
72,2014-06-01,33076.00
73,2014-06-02,8103.00
74,2014-06-03,34692.00
75,2014-06-07,11611.00
76,2014-06-08,10383.00
77,2014-06-09,15621.00
78,2014-06-10,61320.00
79,2014-06-11,9541.00
80,2014-06-12,8752.00
81,2014-06-14,19227.00
82,2014-06-15,10513.00
83,2014-06-16,17319.00
84,2014-06-17,29721.00
85,2014-06-18,20211.00
86,2014-06-19,6665.00
87,2014-06-21,44902.00
88,2014-06-22,21208.00
89,2014-06-23,29357.00
90,2014-06-24,9242.00
91,2014-06-25,26223.00
92,2014-06-26,26482.00
93,2014-06-28,13212.00
94,2014-06-29,10503.00
95,2014-06-30,9619.00
96,2014-07-01,13470.00
97,2014-07-02,11374.00
98,2014-07-03,4764.00
99,2014-07-05,11860.00
100,2014-07-06,20011.00
101,2014-07-07,8678.00
102,2014-07-08,7577.00
103,2014-07-09,15511.00
104,2014-07-10,12392.00
105,2014-07-12,13781.00
106,2014-07-13,20245.00
107,2014-07-14,12559.00
108,2014-07-15,29405.00
109,2014-07-16,12833.00
110,2014-07-17,23838.00
111,2014-07-20,16333.00
112,2014-07-21,23333.00
113,2014-07-22,11076.00
114,2014-07-23,14668.00
115,2014-07-24,12275.00
116,2014-07-26,9966.00
117,2014-07-27,4642.00
118,2014-07-28,83184.00
119,2014-07-31,4204.00
120,2014-08-02,5047.00
121,2014-08-03,25087.00
122,2014-08-04,13961.00
123,2014-08-05,14909.00
124,2014-08-06,11863.00
125,2014-08-07,5794.00
126,2014-08-09,16391.00
127,2014-08-10,15564.00
128,2014-08-11,14218.00
129,2014-08-12,7378.00
130,2014-08-13,1171.00
131,2014-08-14,20151.00
132,2014-08-16,12217.00
133,2014-08-17,17700.00
134,2014-08-18,8065.00
135,2014-08-19,11340.00
136,2014-08-20,44248.00
137,2014-08-21,15652.00
138,2014-08-23,3181.00
139,2014-08-24,8960.00
140,2014-08-25,6019.00
141,2014-08-26,11912.00
142,2014-08-27,7205.00
143,2014-08-28,20540.00
144,2014-08-30,14527.00
145,2014-08-31,13928.00
146,2014-09-01,13870.00
147,2014-09-02,18645.00
148,2014-09-03,12150.00
149,2014-09-04,12935.00
150,2014-09-06,7885.00
151,2014-09-07,17904.00
152,2014-09-08,20262.00
153,2014-09-09,14354.00
154,2014-09-10,19243.00
155,2014-09-11,6187.00
156,2014-09-13,22567.00
157,2014-09-14,32480.00
158,2014-09-15,19338.00
159,2014-09-16,35241.00
160,2014-09-17,10739.00
161,2014-09-18,15776.00
162,2014-09-20,13012.00
163,2014-09-21,10412.00
164,2014-09-22,27721.00
165,2014-09-23,4831.00
166,2014-09-24,11472.00
167,2014-09-25,15778.00
168,2014-09-27,14947.00
169,2014-09-28,20652.00
170,2014-09-29,10687.00
171,2014-09-30,15491.00
172,2014-10-01,33040.00
173,2014-10-02,9436.00
174,2014-10-04,15436.00
175,2014-10-06,14294.00
176,2014-10-07,8504.00
177,2014-10-08,6803.00
178,2014-10-09,23308.00
179,2014-10-11,11648.00
