Row,Date,CO
1,2008-04-13,4
2,2008-04-14,4
3,2008-05-20,1
4,2008-05-21,4
5,2008-05-24,2
6,2008-05-25,8
7,2008-05-26,4
8,2008-05-27,6
9,2008-05-28,6
10,2008-05-31,11
11,2008-06-01,12
12,2008-06-02,11
13,2008-06-08,3
14,2008-06-09,9
15,2008-06-10,16
16,2008-06-11,9
17,2008-06-14,16
18,2008-06-15,5
19,2008-06-16,14
20,2008-06-17,9
21,2008-06-18,9
22,2008-06-21,4
23,2008-06-23,2
24,2008-06-24,1
25,2008-06-25,7
26,2008-06-28,9
27,2008-06-29,4
28,2008-06-30,9
29,2008-07-01,7
30,2008-07-05,15
31,2008-07-06,4
32,2008-07-07,9
33,2008-07-08,3
34,2008-07-09,6
35,2008-07-12,4
36,2008-07-13,7
37,2008-07-14,9
38,2008-07-19,8
39,2008-07-20,1
40,2008-07-21,1
41,2008-07-22,1
42,2008-07-23,3
43,2008-07-26,6
44,2008-07-27,7
45,2008-07-28,15
46,2008-07-29,3
47,2008-08-02,1
48,2008-08-03,6
49,2008-08-04,7
50,2008-08-05,2
51,2008-08-06,2
52,2008-08-09,6
53,2008-08-10,7
54,2008-08-11,1
55,2008-08-12,3
56,2008-08-16,5
57,2008-08-19,5
58,2008-08-20,12
59,2008-08-23,7
60,2008-08-24,8
61,2008-08-25,6
62,2008-08-26,5
63,2008-08-27,3
64,2008-08-30,11
65,2008-08-31,10
66,2008-09-01,8
67,2008-09-02,4
68,2008-09-03,13
69,2008-09-06,7
70,2008-09-07,3
71,2008-09-08,11
72,2008-09-09,8
73,2008-09-10,14
74,2008-09-13,5
75,2008-09-14,11
76,2008-09-15,3
77,2008-09-16,5
78,2008-09-17,4
79,2008-09-20,7
80,2008-09-21,17
81,2008-09-23,14
82,2008-09-24,6
83,2008-09-27,3
84,2008-09-28,2
85,2008-09-30,7
86,2008-10-04,8
87,2008-10-05,5
88,2008-10-06,7
89,2008-10-07,20
90,2008-10-12,12
91,2008-10-13,19
92,2008-10-14,19
93,2008-10-15,4
94,2008-10-18,12
95,2008-10-19,18
96,2008-10-20,14
97,2008-10-21,6
98,2008-10-23,4
99,2008-10-26,2
100,2008-10-27,13
101,2008-10-28,6
102,2008-10-29,14
103,2008-10-30,2
104,2008-11-01,9
105,2008-11-02,5
106,2008-11-03,4
107,2008-11-04,14
108,2008-11-05,4
109,2008-11-08,6
110,2008-11-09,6
111,2008-11-10,5
112,2008-11-12,5
113,2008-11-13,1
114,2008-11-15,8
115,2008-11-16,12
116,2008-11-17,7
117,2008-11-18,12
118,2008-11-19,3
119,2008-11-22,6
120,2008-11-23,10
121,2008-11-24,10
122,2008-11-25,2
123,2008-11-26,2
124,2008-11-29,13
125,2008-11-30,20
126,2008-12-01,7
127,2008-12-02,10
128,2008-12-03,13
129,2008-12-06,11
130,2008-12-07,4
131,2008-12-08,11
132,2008-12-10,6
133,2008-12-11,2
134,2008-12-13,10
135,2008-12-14,9
136,2008-12-15,10
137,2008-12-16,4
138,2008-12-20,10
139,2008-12-21,3
140,2008-12-22,10
141,2008-12-23,2
142,2008-12-24,12
143,2008-12-27,8
144,2008-12-28,5
145,2008-12-29,11
146,2008-12-31,4
147,2009-01-03,6
148,2009-01-04,9
149,2009-01-05,6
150,2009-01-10,12
151,2009-01-11,2
152,2009-01-12,7
153,2009-01-14,5
154,2009-01-17,4
155,2009-01-18,26
156,2009-01-19,5
157,2009-01-20,5
158,2009-01-21,5
159,2009-01-24,6
160,2009-01-25,10
161,2009-01-26,3
162,2010-01-18,25
163,2010-01-19,26
164,2010-01-20,6
165,2010-01-21,22
166,2010-01-23,28
167,2010-01-24,10
168,2010-01-25,29
169,2010-01-26,21
170,2010-01-27,11
171,2010-01-30,19
172,2010-01-31,13
173,2010-02-01,10
174,2010-02-02,11
175,2010-02-03,17
176,2010-02-06,18
177,2010-02-07,17
178,2010-02-08,26
179,2010-02-09,15
180,2010-02-10,10
181,2010-02-14,13
182,2010-02-16,30
183,2010-02-17,13
184,2010-02-20,17
185,2010-02-21,10
186,2010-02-22,12
187,2010-02-23,3
188,2010-02-24,4
189,2010-02-27,9
190,2010-02-28,16
191,2010-03-01,20
192,2010-03-02,13
193,2010-03-03,7
194,2010-03-06,13
195,2010-03-07,8
196,2010-03-08,8
197,2010-03-09,12
198,2010-03-10,16
199,2010-03-13,24
200,2010-03-14,27
201,2010-03-15,5
202,2010-03-16,15
203,2010-03-17,7
204,2010-03-27,1
205,2010-03-28,3
206,2010-03-29,3
207,2010-03-30,8
208,2010-03-31,8
209,2010-04-03,14
210,2010-04-04,15
211,2010-04-05,11
212,2010-04-06,12
213,2010-04-07,18
214,2010-04-10,14
215,2010-04-11,23
216,2010-04-12,13
217,2010-04-13,3
218,2010-04-14,4
219,2010-04-17,10
220,2010-04-18,20
221,2010-04-19,8
222,2010-04-20,7
223,2010-04-21,24
224,2010-04-24,24
225,2010-04-25,5
226,2010-04-26,26
227,2010-04-27,21
228,2010-04-28,18
229,2010-05-01,25
230,2010-05-02,17
231,2010-05-03,17
232,2010-05-04,16
233,2010-05-05,3
234,2010-05-08,15
235,2010-05-09,7
236,2010-05-10,11
237,2010-05-11,12
238,2010-05-12,10
239,2010-05-15,15
240,2010-05-16,12
241,2010-05-17,1
242,2010-05-18,15
243,2010-05-19,18
244,2010-05-22,8
245,2010-05-23,8
246,2010-05-25,14
247,2010-05-26,10
248,2010-05-29,20
249,2010-05-30,18
250,2010-05-31,22
251,2010-06-01,18
252,2010-06-02,20
253,2010-06-03,5
254,2010-06-06,19
255,2010-06-07,22
256,2010-06-08,20
257,2010-06-09,22
258,2010-06-12,28
259,2010-06-13,21
260,2010-06-14,30
261,2010-06-15,23
262,2010-06-16,8
263,2010-06-17,2
264,2010-06-19,30
265,2010-06-20,26
266,2010-06-21,14
267,2010-06-22,20
268,2010-06-23,19
269,2010-06-27,38
270,2010-06-28,18
271,2010-06-29,26
272,2010-06-30,19
273,2010-07-01,1
274,2010-07-03,19
275,2010-07-04,13
276,2010-07-05,26
277,2010-07-06,16
278,2010-07-07,18
279,2010-07-10,2
280,2010-07-11,1
281,2010-07-13,16
282,2010-07-14,12
283,2010-07-17,19
284,2010-07-18,18
285,2010-07-19,53
286,2010-07-20,48
287,2010-07-21,26
288,2010-07-22,13
289,2010-07-24,41
290,2010-07-25,18
291,2010-07-26,37
292,2010-07-28,6
293,2010-07-29,1
294,2010-07-31,17
295,2010-08-01,18
296,2010-08-02,45
297,2010-08-03,10
298,2010-08-04,12
299,2010-08-05,4
300,2010-08-07,52
301,2010-08-08,21
302,2010-08-09,29
303,2010-08-10,20
304,2010-08-11,13
305,2010-08-14,33
306,2010-08-15,17
307,2010-08-16,9
308,2010-08-17,19
309,2010-08-18,20
310,2010-08-19,3
311,2010-08-21,20
312,2010-08-22,19
313,2010-08-23,23
314,2010-08-24,25
315,2010-08-25,18
316,2010-08-28,16
317,2010-08-29,16
318,2010-08-30,19
319,2010-08-31,21
320,2010-09-04,19
321,2010-09-05,30
322,2010-09-06,23
323,2010-09-07,22
324,2010-09-08,23
325,2010-09-13,22
326,2010-09-14,15
327,2010-09-15,11
328,2010-09-18,24
329,2010-09-19,18
330,2010-09-20,15
331,2010-09-21,17
332,2010-09-22,15
333,2010-09-25,24
334,2010-09-26,21
335,2010-09-27,25
336,2010-09-28,16
337,2010-09-29,8
338,2010-10-02,22
339,2010-10-03,37
340,2010-10-04,1
341,2010-10-05,20
342,2010-10-06,13
343,2010-10-09,22
344,2010-10-10,17
345,2010-10-11,13
346,2010-10-12,18
347,2010-10-13,18
348,2010-10-14,3
349,2010-10-16,16
350,2010-10-17,23
351,2010-10-18,19
352,2010-10-19,32
353,2010-10-20,17
354,2010-10-23,38
355,2010-10-24,22
356,2010-10-25,27
357,2010-10-26,14
358,2010-10-27,21
359,2010-10-28,3
360,2010-10-30,18
361,2010-10-31,24
362,2010-11-01,19
363,2010-11-02,18
364,2010-11-03,15
365,2010-11-06,24
366,2010-11-07,23
367,2010-11-08,18
368,2010-11-09,17
369,2010-11-10,26
370,2010-11-11,1
371,2010-11-13,18
372,2010-11-14,32
373,2010-11-15,22
374,2010-11-16,12
375,2010-11-20,22
376,2010-11-21,19
377,2010-11-22,12
378,2010-11-23,5
379,2010-11-24,13
380,2010-11-27,15
381,2010-11-28,15
382,2010-11-29,28
383,2010-11-30,23
384,2010-12-01,14
385,2010-12-02,9
386,2010-12-04,22
387,2010-12-05,18
388,2010-12-06,20
389,2010-12-07,13
390,2010-12-08,10
391,2010-12-09,2
392,2010-12-11,17
393,2010-12-12,20
394,2010-12-13,12
395,2010-12-14,1
396,2010-12-18,22
397,2010-12-19,15
398,2010-12-20,15
399,2010-12-21,15
400,2010-12-22,21
401,2010-12-25,14
402,2010-12-26,231
403,2010-12-27,21
404,2010-12-28,16
405,2010-12-29,14
406,2011-01-01,12
407,2011-01-02,20
408,2011-01-03,19
409,2011-01-04,19
410,2011-01-05,13
411,2011-01-08,1
412,2011-01-09,36
413,2011-01-10,7
414,2011-01-11,24
415,2011-01-12,1
416,2011-01-15,2
417,2011-01-16,5
418,2011-01-17,21
419,2011-01-18,12
420,2011-01-19,4
421,2011-01-20,6
422,2011-01-22,11
423,2011-01-23,8
424,2011-01-24,8
425,2011-01-26,6
426,2011-01-28,1
427,2011-01-29,22
428,2011-01-30,17
429,2011-01-31,17
430,2011-02-01,23
431,2011-02-05,23
432,2011-02-06,25
433,2011-02-07,24
434,2011-02-08,12
435,2011-02-09,17
436,2011-02-12,19
437,2011-02-13,36
438,2011-02-14,6
439,2011-02-15,8
440,2011-02-19,4
441,2011-02-20,12
442,2011-02-22,20
443,2011-02-23,7
444,2011-02-26,14
445,2011-02-27,4
446,2011-02-28,9
447,2011-03-01,1
448,2011-03-02,5
449,2011-03-05,18
450,2011-03-06,2
451,2011-03-07,13
452,2011-03-08,11
453,2011-03-09,7
454,2011-03-12,9
455,2011-03-13,11
456,2011-03-14,7
457,2011-03-15,6
458,2011-03-16,2
459,2011-03-19,1
460,2011-03-27,1
461,2011-03-30,4
462,2011-04-03,10
463,2011-04-04,3
464,2011-04-05,6
